Product,Sensor 1 in,Sensor 1 out,Sensor 2 in,Sensor 2 out,Sensor 3 in,Sensor 3 out,Sensor 4 in,Sensor 4 out,Sensor 5 in,Sensor 5 out,Sensor 6 in,Sensor 6 out,Sensor 7 in,Sensor 7 out,Sensor 8 in,Sensor 8 out
1,58:37.4,58:42.0,58:51.7,59:15.1,58:23.1,58:35.3,55:15.5,58:14.6,54:09.8,57:08.7,54:09.6,57:08.7,54:08.2,57:06.7,54:05.8,57:04.8
2,04:47.2,04:51.7,04:59.9,05:23.7,04:31.3,04:44.0,01:24.9,04:22.7,00:19.4,03:18.0,00:19.2,03:18.0,00:17.6,03:15.3,00:16.0,03:12.8
3,10:51.9,10:55.7,11:05.6,11:29.4,10:37.1,10:49.1,07:29.8,10:28.8,06:27.1,09:22.7,06:27.1,09:22.2,06:22.6,09:21.2,06:23.4,09:18.5
4,16:59.5,16:59.6,17:14.5,17:38.0,16:46.4,16:58.1,13:36.1,16:36.4,12:32.2,15:30.4,12:32.2,15:30.4,12:29.0,15:28.2,12:28.1,15:26.3
5,16:59.8,16:59.8,23:26.9,23:50.7,22:58.3,23:10.4,19:48.4,22:48.0,18:43.3,21:42.7,18:43.3,21:42.7,18:40.3,21:39.5,18:39.4,21:38.9
6,16:59.9,17:03.5,29:37.5,30:01.4,29:08.9,29:21.0,22:48.8,22:49.0,24:56.3,27:55.0,24:56.3,27:55.0,24:52.9,27:50.3,24:52.4,27:51.1
7,23:12.0,23:12.1,35:42.4,36:06.7,35:13.8,35:25.9,25:59.9,28:57.8,31:01.6,33:59.1,31:01.0,33:58.9,31:01.9,33:57.5,30:56.8,33:54.7
8,23:12.1,23:15.7,39:45.2,40:08.6,39:16.6,39:28.7,32:06.7,35:05.6,35:06.7,38:01.1,35:06.7,38:00.5,35:03.7,37:59.4,35:02.8,37:56.6
9,29:25.9,29:26.6,42:50.0,43:13.4,42:21.2,42:33.3,36:12.8,39:06.9,38:10.1,41:09.1,38:10.1,41:09.1,38:07.7,41:04.9,38:05.5,41:05.1
10,35:27.3,35:27.5,45:57.4,46:20.8,45:29.0,45:41.3,39:07.6,39:07.8,41:17.3,44:14.5,41:17.3,44:14.5,41:14.1,44:12.5,41:13.4,44:09.8
11,35:27.5,35:30.9,49:03.9,49:27.4,48:35.3,48:47.5,39:15.0,42:12.8,44:24.0,47:23.9,44:24.0,47:23.9,44:21.3,47:20.2,44:19.6,47:19.6
12,39:30.3,39:34.2,52:11.2,52:34.6,51:42.9,51:54.9,42:21.4,45:20.6,47:33.0,50:31.8,47:29.5,50:31.8,47:28.1,50:27.4,47:28.7,50:28.7
13,42:35.3,42:39.1,55:16.9,55:40.3,54:48.3,55:00.5,45:29.0,48:28.0,50:40.8,53:34.0,50:37.4,53:33.5,50:35.9,53:32.5,50:36.1,53:29.3
14,45:43.3,45:48.5,58:22.2,58:45.6,57:53.6,58:05.7,48:35.1,51:35.3,53:42.5,56:41.0,53:42.0,56:41.0,53:41.1,56:37.8,53:37.8,56:34.7
15,48:48.9,48:49.0,01:26.9,01:50.4,00:58.7,01:10.8,51:43.5,54:40.1,56:49.1,59:43.5,56:49.1,59:43.2,56:46.1,59:41.7,56:45.2,59:41.7
16,48:49.0,48:52.7,04:34.1,04:57.2,04:05.3,04:17.8,54:40.6,54:41.3,59:56.1,02:52.0,59:56.1,02:52.0,59:52.6,02:49.2,59:51.6,02:48.2
17,48:52.7,48:52.8,10:05.3,10:28.6,09:33.5,09:49.8,54:48.1,57:45.6,04:59.7,08:03.4,04:59.7,08:03.4,04:58.0,08:00.2,04:55.4,07:58.9
18,51:56.9,52:00.4,13:15.0,13:38.5,12:46.6,12:58.8,57:53.2,00:49.9,08:34.6,11:31.6,08:34.6,11:31.0,08:31.5,11:29.8,08:30.0,11:27.1
19,55:02.4,55:06.8,16:17.7,16:41.3,15:49.4,16:02.0,01:00.1,03:56.8,11:40.1,14:34.7,11:40.1,14:34.2,11:38.4,14:33.2,11:36.9,14:30.7
20,58:08.1,58:08.2,19:24.8,19:48.6,18:57.0,19:08.6,06:05.5,09:07.1,14:46.4,17:43.4,14:45.8,17:42.9,14:44.4,17:42.8,14:45.2,17:38.7
