Product,Sensor 8 in,Sensor 8 out,Sensor 7 in,Sensor 7 out,Sensor 6 in,Sensor 6 out,Sensor 5 in,Sensor 5 out,Sensor 4 in,Sensor 4 out,Sensor 3 in,Sensor 3 out,Sensor 2 in,Sensor 2 out,Sensor 1 in,Sensor 1 out
1,2022-11-04 06:54:05,2022-11-04 06:57:04,2022-11-04 06:54:08,2022-11-04 06:57:06,2022-11-04 06:54:09,2022-11-04 06:57:08,2022-11-04 06:54:09,2022-11-04 06:57:08,2022-11-04 06:55:15,2022-11-04 06:58:14,2022-11-04 06:58:23,2022-11-04 06:58:35,2022-11-04 06:52:57,2022-11-04 06:53:03,2022-11-04 06:58:37,2022-11-04 06:58:42
2,2022-11-04 07:00:15,2022-11-04 07:03:12,2022-11-04 07:00:17,2022-11-04 07:03:15,2022-11-04 07:00:19,2022-11-04 07:03:17,2022-11-04 07:00:19,2022-11-04 07:03:17,2022-11-04 07:01:24,2022-11-04 07:04:22,2022-11-04 07:04:31,2022-11-04 07:04:43,2022-11-04 06:58:51,2022-11-04 06:59:15,2022-11-04 07:04:47,2022-11-04 07:04:51
3,2022-11-04 07:06:23,2022-11-04 07:09:18,2022-11-04 07:06:22,2022-11-04 07:09:21,2022-11-04 07:06:27,2022-11-04 07:09:22,2022-11-04 07:06:27,2022-11-04 07:09:22,2022-11-04 07:07:29,2022-11-04 07:10:28,2022-11-04 07:10:37,2022-11-04 07:10:49,2022-11-04 07:04:59,2022-11-04 07:05:23,2022-11-04 07:10:51,2022-11-04 07:10:55
8,2022-11-04 07:35:02,2022-11-04 07:37:56,2022-11-04 07:35:03,2022-11-04 07:37:59,2022-11-04 07:35:06,2022-11-04 07:38:00,2022-11-04 07:35:06,2022-11-04 07:38:01,2022-11-04 07:32:06,2022-11-04 07:35:05,2022-11-04 07:39:16,2022-11-04 07:39:28,2022-11-04 07:35:42,2022-11-04 07:36:06,2022-11-04 07:23:12,2022-11-04 07:23:15
11,2022-11-04 07:44:19,2022-11-04 07:47:19,2022-11-04 07:44:21,2022-11-04 07:47:20,2022-11-04 07:44:24,2022-11-04 07:47:23,2022-11-04 07:44:24,2022-11-04 07:47:23,2022-11-04 07:39:15,2022-11-04 07:42:12,2022-11-04 07:48:35,2022-11-04 07:48:47,2022-11-04 07:45:57,2022-11-04 07:46:20,2022-11-04 07:35:27,2022-11-04 07:35:30
12,2022-11-04 07:47:28,2022-11-04 07:50:28,2022-11-04 07:47:28,2022-11-04 07:50:27,2022-11-04 07:47:29,2022-11-04 07:50:31,2022-11-04 07:47:32,2022-11-04 07:50:31,2022-11-04 07:42:21,2022-11-04 07:45:20,2022-11-04 07:51:42,2022-11-04 07:51:54,2022-11-04 07:49:03,2022-11-04 07:49:27,2022-11-04 07:39:30,2022-11-04 07:39:34
13,2022-11-04 07:50:36,2022-11-04 07:53:29,2022-11-04 07:50:35,2022-11-04 07:53:32,2022-11-04 07:50:37,2022-11-04 07:53:33,2022-11-04 07:50:40,2022-11-04 07:53:34,2022-11-04 07:45:28,2022-11-04 07:48:27,2022-11-04 07:54:48,2022-11-04 07:55:00,2022-11-04 07:52:11,2022-11-04 07:52:34,2022-11-04 07:42:35,2022-11-04 07:42:39
14,2022-11-04 07:53:37,2022-11-04 07:56:34,2022-11-04 07:53:41,2022-11-04 07:56:37,2022-11-04 07:53:42,2022-11-04 07:56:40,2022-11-04 07:53:42,2022-11-04 07:56:40,2022-11-04 07:48:35,2022-11-04 07:51:35,2022-11-04 07:57:53,2022-11-04 07:58:05,2022-11-04 07:55:16,2022-11-04 07:55:40,2022-11-04 07:45:43,2022-11-04 07:45:48
18,2022-11-04 08:08:29,2022-11-04 08:11:27,2022-11-04 08:08:31,2022-11-04 08:11:29,2022-11-04 08:08:34,2022-11-04 08:11:30,2022-11-04 08:08:34,2022-11-04 08:11:31,2022-11-04 07:57:53,2022-11-04 08:00:49,2022-11-04 08:12:46,2022-11-04 08:12:58,2022-11-04 08:10:05,2022-11-04 08:10:28,2022-11-04 07:51:56,2022-11-04 07:52:00
19,2022-11-04 08:11:36,2022-11-04 08:14:30,2022-11-04 08:11:38,2022-11-04 08:14:33,2022-11-04 08:11:40,2022-11-04 08:14:34,2022-11-04 08:11:40,2022-11-04 08:14:34,2022-11-04 08:01:00,2022-11-04 08:03:56,2022-11-04 08:15:49,2022-11-04 08:16:02,2022-11-04 08:13:14,2022-11-04 08:13:38,2022-11-04 07:55:02,2022-11-04 07:55:06
