Product,Sensor 8 in,Sensor 8 out,Sensor 7 in,Sensor 7 out,Sensor 6 in,Sensor 6 out,Sensor 5 in,Sensor 5 out,Sensor 4 in,Sensor 4 out,Sensor 3 in,Sensor 3 out,Sensor 2 in,Sensor 2 out,Sensor 1 in,Sensor 1 out
1,11/4/2022 6:54,11/4/2022 6:57,11/4/2022 6:54,11/4/2022 6:57,11/4/2022 6:54,11/4/2022 6:57,11/4/2022 6:54,11/4/2022 6:57,11/4/2022 6:55,11/4/2022 6:58,11/4/2022 6:58,11/4/2022 6:58,11/4/2022 6:52,11/4/2022 6:53,11/4/2022 6:58,11/4/2022 6:58
2,11/4/2022 7:00,11/4/2022 7:03,11/4/2022 7:00,11/4/2022 7:03,11/4/2022 7:00,11/4/2022 7:03,11/4/2022 7:00,11/4/2022 7:03,11/4/2022 7:01,11/4/2022 7:04,11/4/2022 7:04,11/4/2022 7:04,11/4/2022 6:58,11/4/2022 6:59,11/4/2022 7:04,11/4/2022 7:04
3,11/4/2022 7:06,11/4/2022 7:09,11/4/2022 7:06,11/4/2022 7:09,11/4/2022 7:06,11/4/2022 7:09,11/4/2022 7:06,11/4/2022 7:09,11/4/2022 7:07,11/4/2022 7:10,11/4/2022 7:10,11/4/2022 7:10,11/4/2022 7:04,11/4/2022 7:05,11/4/2022 7:10,11/4/2022 7:10
4,11/4/2022 7:12,11/4/2022 7:15,11/4/2022 7:12,11/4/2022 7:15,11/4/2022 7:12,11/4/2022 7:15,11/4/2022 7:12,11/4/2022 7:15,11/4/2022 7:13,11/4/2022 7:16,11/4/2022 7:16,11/4/2022 7:16,11/4/2022 7:11,11/4/2022 7:11,11/4/2022 7:16,11/4/2022 7:16
5,11/4/2022 7:18,11/4/2022 7:21,11/4/2022 7:18,11/4/2022 7:21,11/4/2022 7:18,11/4/2022 7:21,11/4/2022 7:18,11/4/2022 7:21,11/4/2022 7:19,11/4/2022 7:22,11/4/2022 7:22,11/4/2022 7:23,11/4/2022 7:17,11/4/2022 7:17,11/4/2022 7:16,11/4/2022 7:16
6,11/4/2022 7:24,11/4/2022 7:27,11/4/2022 7:24,11/4/2022 7:27,11/4/2022 7:24,11/4/2022 7:27,11/4/2022 7:24,11/4/2022 7:27,11/4/2022 7:22,11/4/2022 7:22,11/4/2022 7:29,11/4/2022 7:29,11/4/2022 7:23,11/4/2022 7:23,11/4/2022 7:16,11/4/2022 7:17
7,11/4/2022 7:30,11/4/2022 7:33,11/4/2022 7:31,11/4/2022 7:33,11/4/2022 7:31,11/4/2022 7:33,11/4/2022 7:31,11/4/2022 7:33,11/4/2022 7:25,11/4/2022 7:28,11/4/2022 7:35,11/4/2022 7:35,11/4/2022 7:29,11/4/2022 7:30,11/4/2022 7:23,11/4/2022 7:23
8,11/4/2022 7:35,11/4/2022 7:37,11/4/2022 7:35,11/4/2022 7:37,11/4/2022 7:35,11/4/2022 7:38,11/4/2022 7:35,11/4/2022 7:38,11/4/2022 7:32,11/4/2022 7:35,11/4/2022 7:39,11/4/2022 7:39,11/4/2022 7:35,11/4/2022 7:36,11/4/2022 7:23,11/4/2022 7:23
9,11/4/2022 7:38,11/4/2022 7:41,11/4/2022 7:38,11/4/2022 7:41,11/4/2022 7:38,11/4/2022 7:41,11/4/2022 7:38,11/4/2022 7:41,11/4/2022 7:36,11/4/2022 7:39,11/4/2022 7:42,11/4/2022 7:42,11/4/2022 7:39,11/4/2022 7:40,11/4/2022 7:29,11/4/2022 7:29
10,11/4/2022 7:41,11/4/2022 7:44,11/4/2022 7:41,11/4/2022 7:44,11/4/2022 7:41,11/4/2022 7:44,11/4/2022 7:41,11/4/2022 7:44,11/4/2022 7:39,11/4/2022 7:39,11/4/2022 7:45,11/4/2022 7:45,11/4/2022 7:42,11/4/2022 7:43,11/4/2022 7:35,11/4/2022 7:35
