Product,Sensor 8 in,Sensor 8 out,Sensor 7 in,Sensor 7 out,Sensor 6 in,Sensor 6 out,Sensor 5 in,Sensor 5 out,Sensor 4 in,Sensor 4 out,Sensor 3 in,Sensor 3 out,Sensor 2 in,Sensor 2 out,Sensor 1 in,Sensor 1 out
1,54:05.8,57:04.8,54:08.2,57:06.7,54:09.6,57:08.7,54:09.8,57:08.7,55:15.5,58:14.6,58:23.1,58:35.3,58:51.7,59:15.1,58:37.4,58:42.0
2,00:16.0,03:12.8,00:17.6,03:15.3,00:19.2,03:18.0,00:19.4,03:18.0,01:24.9,04:22.7,04:31.3,04:44.0,04:59.9,05:23.7,04:47.2,04:51.7
3,06:23.4,09:18.5,06:22.6,09:21.2,06:27.1,09:22.2,06:27.1,09:22.7,07:29.8,10:28.8,10:37.1,10:49.1,11:05.6,11:29.4,10:51.9,10:55.7
4,12:28.1,15:26.3,12:29.0,15:28.2,12:32.2,15:30.4,12:32.2,15:30.4,13:36.1,16:36.4,16:46.4,16:58.1,17:14.5,17:38.0,16:59.5,16:59.6
5,18:39.4,21:38.9,18:40.3,21:39.5,18:43.3,21:42.7,18:43.3,21:42.7,19:48.4,22:48.0,22:58.3,23:10.4,23:26.9,23:50.7,16:59.8,16:59.8
6,24:52.4,27:51.1,24:52.9,27:50.3,24:56.3,27:55.0,24:56.3,27:55.0,22:48.8,22:49.0,29:08.9,29:21.0,29:37.5,30:01.4,16:59.9,17:03.5
7,30:56.8,33:54.7,31:01.9,33:57.5,31:01.0,33:58.9,31:01.6,33:59.1,25:59.9,28:57.8,35:13.8,35:25.9,35:42.4,36:06.7,23:12.0,23:12.1
8,35:02.8,37:56.6,35:03.7,37:59.4,35:06.7,38:00.5,35:06.7,38:01.1,32:06.7,35:05.6,39:16.6,39:28.7,39:45.2,40:08.6,23:12.1,23:15.7
9,38:05.5,41:05.1,38:07.7,41:04.9,38:10.1,41:09.1,38:10.1,41:09.1,36:12.8,39:06.9,42:21.2,42:33.3,42:50.0,43:13.4,29:25.9,29:26.6
10,41:13.4,44:09.8,41:14.1,44:12.5,41:17.3,44:14.5,41:17.3,44:14.5,39:07.6,39:07.8,45:29.0,45:41.3,45:57.4,46:20.8,35:27.3,35:27.5
11,44:19.6,47:19.6,44:21.3,47:20.2,44:24.0,47:23.9,44:24.0,47:23.9,39:15.0,42:12.8,48:35.3,48:47.5,49:03.9,49:27.4,35:27.5,35:30.9
12,47:28.7,50:28.7,47:28.1,50:27.4,47:29.5,50:31.8,47:33.0,50:31.8,42:21.4,45:20.6,51:42.9,51:54.9,52:11.2,52:34.6,39:30.3,39:34.2
13,50:36.1,53:29.3,50:35.9,53:32.5,50:37.4,53:33.5,50:40.8,53:34.0,45:29.0,48:28.0,54:48.3,55:00.5,55:16.9,55:40.3,42:35.3,42:39.1
14,53:37.8,56:34.7,53:41.1,56:37.8,53:42.0,56:41.0,53:42.5,56:41.0,48:35.1,51:35.3,57:53.6,58:05.7,58:22.2,58:45.6,45:43.3,45:48.5
15,56:45.2,59:41.7,56:46.1,59:41.7,56:49.1,59:43.2,56:49.1,59:43.5,51:43.5,54:40.1,00:58.7,01:10.8,01:26.9,01:50.4,48:48.9,48:49.0
16,59:51.6,02:48.2,59:52.6,02:49.2,59:56.1,02:52.0,59:56.1,02:52.0,54:40.6,54:41.3,04:05.3,04:17.8,04:34.1,04:57.2,48:49.0,48:52.7
17,04:55.4,07:58.9,04:58.0,08:00.2,04:59.7,08:03.4,04:59.7,08:03.4,54:48.1,57:45.6,09:33.5,09:49.8,10:05.3,10:28.6,48:52.7,48:52.8
18,08:30.0,11:27.1,08:31.5,11:29.8,08:34.6,11:31.0,08:34.6,11:31.6,57:53.2,00:49.9,12:46.6,12:58.8,13:15.0,13:38.5,51:56.9,52:00.4
19,11:36.9,14:30.7,11:38.4,14:33.2,11:40.1,14:34.2,11:40.1,14:34.7,01:00.1,03:56.8,15:49.4,16:02.0,16:17.7,16:41.3,55:02.4,55:06.8
20,14:45.2,17:38.7,14:44.4,17:42.8,14:45.8,17:42.9,14:46.4,17:43.4,06:05.5,09:07.1,18:57.0,19:08.6,19:24.8,19:48.6,58:08.1,58:08.2
21,17:47.1,20:46.2,17:50.3,20:49.1,17:51.1,20:51.3,17:51.6,20:51.3,09:26.9,09:27.5,22:05.5,22:18.9,22:35.3,22:57.6,58:08.2,58:12.0
22,20:57.4,23:59.3,20:58.6,23:59.7,20:59.5,24:02.9,21:00.1,24:02.9,09:27.7,09:27.8,25:14.5,25:26.7,25:42.5,26:07.9,01:12.0,01:15.7
23,24:07.4,27:01.9,24:08.1,27:04.5,24:11.1,27:05.9,24:11.1,27:06.1,09:38.4,12:38.3,28:20.5,28:32.6,28:48.8,29:13.3,04:21.6,04:25.9
24,27:15.1,30:12.9,27:15.6,30:13.2,27:18.6,30:16.7,27:18.6,30:16.7,12:45.7,15:41.0,31:29.0,31:41.0,31:57.6,32:20.7,09:41.7,09:45.0
25,38:07.3,41:08.5,38:10.4,41:11.1,38:11.4,41:12.5,38:11.9,41:13.1,15:51.9,18:49.3,42:27.4,42:39.7,42:58.2,43:21.8,12:59.5,12:59.6
